"booking_id";"pnr";"passenger_id";"flight_id";"seats";"total_price";"status";"booking_date"
1;"PNR10001";1;1;1;9000.0;"CONFIRMED";"2026-06-01 10:01:00"
2;"PNR10002";2;2;2;9000.0;"CONFIRMED";"2026-06-01 10:02:00"
3;"PNR10003";3;3;3;9000.0;"CONFIRMED";"2026-06-01 10:03:00"
4;"PNR10004";4;4;4;9000.0;"CONFIRMED";"2026-06-01 10:04:00"
5;"PNR10005";5;5;5;9000.0;"CONFIRMED";"2026-06-01 10:05:00"
6;"PNR10006";6;6;6;9000.0;"CONFIRMED";"2026-06-01 10:06:00"
7;"PNR10007";7;7;7;9000.0;"CONFIRMED";"2026-06-01 10:07:00"
8;"PNR10008";8;8;8;9000.0;"CONFIRMED";"2026-06-01 10:08:00"
9;"PNR10009";9;9;9;9000.0;"CONFIRMED";"2026-06-01 10:09:00"
10;"PNR10010";10;10;10;9000.0;"CONFIRMED";"2026-06-01 10:10:00"
11;"PNR10011";11;1;11;9000.0;"CONFIRMED";"2026-06-01 10:11:00"
12;"PNR10012";12;2;12;9000.0;"CONFIRMED";"2026-06-01 10:12:00"
13;"PNR10013";13;3;13;9000.0;"CONFIRMED";"2026-06-01 10:13:00"
14;"PNR10014";14;4;14;9000.0;"CONFIRMED";"2026-06-01 10:14:00"
15;"PNR10015";15;5;15;9000.0;"CONFIRMED";"2026-06-01 10:15:00"
16;"PNR10016";16;6;16;9000.0;"CONFIRMED";"2026-06-01 10:16:00"
17;"PNR10017";17;7;17;9000.0;"CONFIRMED";"2026-06-01 10:17:00"
18;"PNR10018";18;8;18;9000.0;"CONFIRMED";"2026-06-01 10:18:00"
19;"PNR10019";19;9;19;9000.0;"CONFIRMED";"2026-06-01 10:19:00"
20;"PNR10020";20;10;20;9000.0;"CONFIRMED";"2026-06-01 10:20:00"
21;"PNR10021";21;1;21;9000.0;"CONFIRMED";"2026-06-01 10:21:00"
22;"PNR10022";22;2;22;9000.0;"CONFIRMED";"2026-06-01 10:22:00"
23;"PNR10023";23;3;23;9000.0;"CONFIRMED";"2026-06-01 10:23:00"
24;"PNR10024";24;4;24;9000.0;"CONFIRMED";"2026-06-01 10:24:00"
25;"PNR10025";25;5;25;9000.0;"CONFIRMED";"2026-06-01 10:25:00"
26;"PNR10026";26;6;26;9000.0;"CONFIRMED";"2026-06-01 10:26:00"
27;"PNR10027";27;7;27;9000.0;"CONFIRMED";"2026-06-01 10:27:00"
28;"PNR10028";28;8;28;9000.0;"CONFIRMED";"2026-06-01 10:28:00"
29;"PNR10029";29;9;29;9000.0;"CONFIRMED";"2026-06-01 10:29:00"
30;"PNR10030";30;10;30;9000.0;"CONFIRMED";"2026-06-01 10:30:00"
31;"PNR10031";31;1;31;9000.0;"CONFIRMED";"2026-06-01 10:31:00"
32;"PNR10032";32;2;32;9000.0;"CONFIRMED";"2026-06-01 10:32:00"
33;"PNR10033";33;3;33;9000.0;"CONFIRMED";"2026-06-01 10:33:00"
34;"PNR10034";34;4;34;9000.0;"CONFIRMED";"2026-06-01 10:34:00"
35;"PNR10035";35;5;35;9000.0;"CONFIRMED";"2026-06-01 10:35:00"
36;"PNR10036";36;6;36;9000.0;"CONFIRMED";"2026-06-01 10:36:00"
37;"PNR10037";37;7;37;9000.0;"CONFIRMED";"2026-06-01 10:37:00"
38;"PNR10038";38;8;38;9000.0;"CONFIRMED";"2026-06-01 10:38:00"
39;"PNR10039";39;9;39;9000.0;"CONFIRMED";"2026-06-01 10:39:00"
40;"PNR10040";40;10;40;9000.0;"CONFIRMED";"2026-06-01 10:40:00"
41;"PNR10041";41;1;41;9000.0;"CONFIRMED";"2026-06-01 10:41:00"
42;"PNR10042";42;2;42;9000.0;"CONFIRMED";"2026-06-01 10:42:00"
43;"PNR10043";43;3;43;9000.0;"CONFIRMED";"2026-06-01 10:43:00"
44;"PNR10044";44;4;44;9000.0;"CONFIRMED";"2026-06-01 10:44:00"
45;"PNR10045";45;5;45;9000.0;"CONFIRMED";"2026-06-01 10:45:00"
46;"PNR10046";46;6;46;9000.0;"CONFIRMED";"2026-06-01 10:46:00"
47;"PNR10047";47;7;47;9000.0;"CONFIRMED";"2026-06-01 10:47:00"
48;"PNR10048";48;8;48;9000.0;"CONFIRMED";"2026-06-01 10:48:00"
49;"PNR10049";49;9;49;9000.0;"CONFIRMED";"2026-06-01 10:49:00"
50;"PNR10050";50;10;50;9000.0;"CONFIRMED";"2026-06-01 10:50:00"
51;"PNR10051";51;1;51;9000.0;"CONFIRMED";"2026-06-01 10:51:00"
52;"PNR10052";52;2;52;9000.0;"CONFIRMED";"2026-06-01 10:52:00"
53;"PNR10053";53;3;53;9000.0;"CONFIRMED";"2026-06-01 10:53:00"
54;"PNR10054";54;4;54;9000.0;"CONFIRMED";"2026-06-01 10:54:00"
55;"PNR10055";55;5;55;9000.0;"CONFIRMED";"2026-06-01 10:55:00"
56;"PNR10056";56;6;56;9000.0;"CONFIRMED";"2026-06-01 10:56:00"
57;"PNR10057";57;7;57;9000.0;"CONFIRMED";"2026-06-01 10:57:00"
58;"PNR10058";58;8;58;9000.0;"CONFIRMED";"2026-06-01 10:58:00"
59;"PNR10059";59;9;59;9000.0;"CONFIRMED";"2026-06-01 10:59:00"
60;"PNR10060";60;10;60;9000.0;"CONFIRMED";"2026-06-01 11:00:00"
61;"PNR10061";61;1;61;9000.0;"CONFIRMED";"2026-06-01 11:01:00"
62;"PNR10062";62;2;62;9000.0;"CONFIRMED";"2026-06-01 11:02:00"
63;"PNR10063";63;3;63;9000.0;"CONFIRMED";"2026-06-01 11:03:00"
64;"PNR10064";64;4;64;9000.0;"CONFIRMED";"2026-06-01 11:04:00"
65;"PNR10065";65;5;65;9000.0;"CONFIRMED";"2026-06-01 11:05:00"
66;"PNR10066";66;6;66;9000.0;"CONFIRMED";"2026-06-01 11:06:00"
67;"PNR10067";67;7;67;9000.0;"CONFIRMED";"2026-06-01 11:07:00"
68;"PNR10068";68;8;68;9000.0;"CONFIRMED";"2026-06-01 11:08:00"
69;"PNR10069";69;9;69;9000.0;"CONFIRMED";"2026-06-01 11:09:00"
70;"PNR10070";70;10;70;9000.0;"CONFIRMED";"2026-06-01 11:10:00"
71;"PNR10071";71;1;71;9000.0;"CONFIRMED";"2026-06-01 11:11:00"
72;"PNR10072";72;2;72;9000.0;"CONFIRMED";"2026-06-01 11:12:00"
73;"PNR10073";73;3;73;9000.0;"CONFIRMED";"2026-06-01 11:13:00"
74;"PNR10074";74;4;74;9000.0;"CONFIRMED";"2026-06-01 11:14:00"
75;"PNR10075";75;5;75;9000.0;"CONFIRMED";"2026-06-01 11:15:00"
76;"PNR10076";76;6;76;9000.0;"CONFIRMED";"2026-06-01 11:16:00"
77;"PNR10077";77;7;77;9000.0;"CONFIRMED";"2026-06-01 11:17:00"
78;"PNR10078";78;8;78;9000.0;"CONFIRMED";"2026-06-01 11:18:00"
79;"PNR10079";79;9;79;9000.0;"CONFIRMED";"2026-06-01 11:19:00"
80;"PNR10080";80;10;80;9000.0;"CONFIRMED";"2026-06-01 11:20:00"
81;"PNR10081";81;1;81;9000.0;"CONFIRMED";"2026-06-01 11:21:00"
82;"PNR10082";82;2;82;9000.0;"CONFIRMED";"2026-06-01 11:22:00"
83;"PNR10083";83;3;83;9000.0;"CONFIRMED";"2026-06-01 11:23:00"
84;"PNR10084";84;4;84;9000.0;"CONFIRMED";"2026-06-01 11:24:00"
85;"PNR10085";85;5;85;9000.0;"CONFIRMED";"2026-06-01 11:25:00"
86;"PNR10086";86;6;86;9000.0;"CONFIRMED";"2026-06-01 11:26:00"
87;"PNR10087";87;7;87;9000.0;"CONFIRMED";"2026-06-01 11:27:00"
88;"PNR10088";88;8;88;9000.0;"CONFIRMED";"2026-06-01 11:28:00"
89;"PNR10089";89;9;89;9000.0;"CONFIRMED";"2026-06-01 11:29:00"
90;"PNR10090";90;10;90;9000.0;"CONFIRMED";"2026-06-01 11:30:00"
91;"PNR10091";91;1;91;9000.0;"CONFIRMED";"2026-06-01 11:31:00"
92;"PNR10092";92;2;92;9000.0;"CONFIRMED";"2026-06-01 11:32:00"
93;"PNR10093";93;3;93;9000.0;"CONFIRMED";"2026-06-01 11:33:00"
94;"PNR10094";94;4;94;9000.0;"CONFIRMED";"2026-06-01 11:34:00"
95;"PNR10095";95;5;95;9000.0;"CONFIRMED";"2026-06-01 11:35:00"
96;"PNR10096";96;6;96;9000.0;"CONFIRMED";"2026-06-01 11:36:00"
97;"PNR10097";97;7;97;9000.0;"CONFIRMED";"2026-06-01 11:37:00"
98;"PNR10098";98;8;98;9000.0;"CONFIRMED";"2026-06-01 11:38:00"
